1F1E6 1F1E8,🇦🇨,Ascension Island                      
1F1E6 1F1E9,🇦🇩,Andorra                               
1F1E6 1F1EA,🇦🇪,United Arab Emirates                  
1F1E6 1F1EB,🇦🇫,Afghanistan                           
1F1E6 1F1EC,🇦🇬,Antigua & Barbuda                     
1F1E6 1F1EE,🇦🇮,Anguilla                              
1F1E6 1F1F1,🇦🇱,Albania                               
1F1E6 1F1F2,🇦🇲,Armenia                               
1F1E6 1F1F4,🇦🇴,Angola                                
1F1E6 1F1F6,🇦🇶,Antarctica                            
1F1E6 1F1F7,🇦🇷,Argentina                             
1F1E6 1F1F8,🇦🇸,American Samoa                        
1F1E6 1F1F9,🇦🇹,Austria                               
1F1E6 1F1FA,🇦🇺,Australia                             
1F1E6 1F1FC,🇦🇼,Aruba                                 
1F1E6 1F1FD,🇦🇽,Åland Islands                         
1F1E6 1F1FF,🇦🇿,Azerbaijan                            
1F1E7 1F1E6,🇧🇦,Bosnia & Herzegovina                  
1F1E7 1F1E7,🇧🇧,Barbados                              
1F1E7 1F1E9,🇧🇩,Bangladesh                            
1F1E7 1F1EA,🇧🇪,Belgium                               
1F1E7 1F1EB,🇧🇫,Burkina Faso                          
1F1E7 1F1EC,🇧🇬,Bulgaria                              
1F1E7 1F1ED,🇧🇭,Bahrain                               
1F1E7 1F1EE,🇧🇮,Burundi                               
1F1E7 1F1EF,🇧🇯,Benin                                 
1F1E7 1F1F1,🇧🇱,St. Barthélemy                        
1F1E7 1F1F2,🇧🇲,Bermuda                               
1F1E7 1F1F3,🇧🇳,Brunei                                
1F1E7 1F1F4,🇧🇴,Bolivia                               
1F1E7 1F1F6,🇧🇶,Caribbean Netherlands                 
1F1E7 1F1F7,🇧🇷,Brazil                                
1F1E7 1F1F8,🇧🇸,Bahamas                               
1F1E7 1F1F9,🇧🇹,Bhutan                                
1F1E7 1F1FB,🇧🇻,Bouvet Island                         
1F1E7 1F1FC,🇧🇼,Botswana                              
1F1E7 1F1FE,🇧🇾,Belarus                               
1F1E7 1F1FF,🇧🇿,Belize                                
1F1E8 1F1E6,🇨🇦,Canada                                
1F1E8 1F1E8,🇨🇨,Cocos (Keeling) Islands               
1F1E8 1F1E9,🇨🇩,Congo - Kinshasa                      
1F1E8 1F1EB,🇨🇫,Central African Republic              
1F1E8 1F1EC,🇨🇬,Congo - Brazzaville                   
1F1E8 1F1ED,🇨🇭,Switzerland                           
1F1E8 1F1EE,🇨🇮,Côte d’Ivoire                         
1F1E8 1F1F0,🇨🇰,Cook Islands                          
1F1E8 1F1F1,🇨🇱,Chile                                 
1F1E8 1F1F2,🇨🇲,Cameroon                              
1F1E8 1F1F3,🇨🇳,China                                 
1F1E8 1F1F4,🇨🇴,Colombia                              
1F1E8 1F1F5,🇨🇵,Clipperton Island                     
1F1E8 1F1F7,🇨🇷,Costa Rica                            
1F1E8 1F1FA,🇨🇺,Cuba                                  
1F1E8 1F1FB,🇨🇻,Cape Verde                            
1F1E8 1F1FC,🇨🇼,Curaçao                               
1F1E8 1F1FD,🇨🇽,Christmas Island                      
1F1E8 1F1FE,🇨🇾,Cyprus                                
1F1E8 1F1FF,🇨🇿,Czechia                               
1F1E9 1F1EA,🇩🇪,Germany                               
1F1E9 1F1EC,🇩🇬,Diego Garcia                          
1F1E9 1F1EF,🇩🇯,Djibouti                              
1F1E9 1F1F0,🇩🇰,Denmark                               
1F1E9 1F1F2,🇩🇲,Dominica                              
1F1E9 1F1F4,🇩🇴,Dominican Republic                    
1F1E9 1F1FF,🇩🇿,Algeria                               
1F1EA 1F1E6,🇪🇦,Ceuta & Melilla                       
1F1EA 1F1E8,🇪🇨,Ecuador                               
1F1EA 1F1EA,🇪🇪,Estonia                               
1F1EA 1F1EC,🇪🇬,Egypt                                 
1F1EA 1F1ED,🇪🇭,Western Sahara                        
1F1EA 1F1F7,🇪🇷,Eritrea                               
1F1EA 1F1F8,🇪🇸,Spain                                 
1F1EA 1F1F9,🇪🇹,Ethiopia                              
1F1EA 1F1FA,🇪🇺,European Union                        
1F1EB 1F1EE,🇫🇮,Finland                               
1F1EB 1F1EF,🇫🇯,Fiji                                  
1F1EB 1F1F0,🇫🇰,Falkland Islands                      
1F1EB 1F1F2,🇫🇲,Micronesia                            
1F1EB 1F1F4,🇫🇴,Faroe Islands                         
1F1EB 1F1F7,🇫🇷,France                                
1F1EC 1F1E6,🇬🇦,Gabon                                 
1F1EC 1F1E7,🇬🇧,United Kingdom                        
1F1EC 1F1E9,🇬🇩,Grenada                               
1F1EC 1F1EA,🇬🇪,Georgia                               
1F1EC 1F1EB,🇬🇫,French Guiana                         
1F1EC 1F1EC,🇬🇬,Guernsey                              
1F1EC 1F1ED,🇬🇭,Ghana                                 
1F1EC 1F1EE,🇬🇮,Gibraltar                             
1F1EC 1F1F1,🇬🇱,Greenland                             
1F1EC 1F1F2,🇬🇲,Gambia                                
1F1EC 1F1F3,🇬🇳,Guinea                                
1F1EC 1F1F5,🇬🇵,Guadeloupe                            
1F1EC 1F1F6,🇬🇶,Equatorial Guinea                     
1F1EC 1F1F7,🇬🇷,Greece                                
1F1EC 1F1F8,🇬🇸,South Georgia & South Sandwich Islands
1F1EC 1F1F9,🇬🇹,Guatemala                             
1F1EC 1F1FA,🇬🇺,Guam                                  
1F1EC 1F1FC,🇬🇼,Guinea-Bissau                         
1F1EC 1F1FE,🇬🇾,Guyana                                
1F1ED 1F1F0,🇭🇰,Hong Kong SAR China                   
1F1ED 1F1F2,🇭🇲,Heard & McDonald Islands              
1F1ED 1F1F3,🇭🇳,Honduras                              
1F1ED 1F1F7,🇭🇷,Croatia                               
1F1ED 1F1F9,🇭🇹,Haiti                                 
1F1ED 1F1FA,🇭🇺,Hungary                               
1F1EE 1F1E8,🇮🇨,Canary Islands                        
1F1EE 1F1E9,🇮🇩,Indonesia                             
1F1EE 1F1EA,🇮🇪,Ireland                               
1F1EE 1F1F1,🇮🇱,Israel                                
1F1EE 1F1F2,🇮🇲,Isle of Man                           
1F1EE 1F1F3,🇮🇳,India                                 
1F1EE 1F1F4,🇮🇴,British Indian Ocean Territory        
1F1EE 1F1F6,🇮🇶,Iraq                                  
1F1EE 1F1F7,🇮🇷,Iran                                  
1F1EE 1F1F8,🇮🇸,Iceland                               
1F1EE 1F1F9,🇮🇹,Italy                                 
1F1EF 1F1EA,🇯🇪,Jersey                                
1F1EF 1F1F2,🇯🇲,Jamaica                               
1F1EF 1F1F4,🇯🇴,Jordan                                
1F1EF 1F1F5,🇯🇵,Japan                                 
1F1F0 1F1EA,🇰🇪,Kenya                                 
1F1F0 1F1EC,🇰🇬,Kyrgyzstan                            
1F1F0 1F1ED,🇰🇭,Cambodia                              
1F1F0 1F1EE,🇰🇮,Kiribati                              
1F1F0 1F1F2,🇰🇲,Comoros                               
1F1F0 1F1F3,🇰🇳,St. Kitts & Nevis                     
1F1F0 1F1F5,🇰🇵,North Korea                           
1F1F0 1F1F7,🇰🇷,South Korea                           
1F1F0 1F1FC,🇰🇼,Kuwait                                
1F1F0 1F1FE,🇰🇾,Cayman Islands                        
1F1F0 1F1FF,🇰🇿,Kazakhstan                            
1F1F1 1F1E6,🇱🇦,Laos                                  
1F1F1 1F1E7,🇱🇧,Lebanon                               
1F1F1 1F1E8,🇱🇨,St. Lucia                             
1F1F1 1F1EE,🇱🇮,Liechtenstein                         
1F1F1 1F1F0,🇱🇰,Sri Lanka                             
1F1F1 1F1F7,🇱🇷,Liberia                               
1F1F1 1F1F8,🇱🇸,Lesotho                               
1F1F1 1F1F9,🇱🇹,Lithuania                             
1F1F1 1F1FA,🇱🇺,Luxembourg                            
1F1F1 1F1FB,🇱🇻,Latvia                                
1F1F1 1F1FE,🇱🇾,Libya                                 
1F1F2 1F1E6,🇲🇦,Morocco                               
1F1F2 1F1E8,🇲🇨,Monaco                                
1F1F2 1F1E9,🇲🇩,Moldova                               
1F1F2 1F1EA,🇲🇪,Montenegro                            
1F1F2 1F1EB,🇲🇫,St. Martin                            
1F1F2 1F1EC,🇲🇬,Madagascar                            
1F1F2 1F1ED,🇲🇭,Marshall Islands                      
1F1F2 1F1F0,🇲🇰,Macedonia                             
1F1F2 1F1F1,🇲🇱,Mali                                  
1F1F2 1F1F2,🇲🇲,Myanmar (Burma)                       
1F1F2 1F1F3,🇲🇳,Mongolia                              
1F1F2 1F1F4,🇲🇴,Macau SAR China                       
1F1F2 1F1F5,🇲🇵,Northern Mariana Islands              
1F1F2 1F1F6,🇲🇶,Martinique                            
1F1F2 1F1F7,🇲🇷,Mauritania                            
1F1F2 1F1F8,🇲🇸,Montserrat                            
1F1F2 1F1F9,🇲🇹,Malta                                 
1F1F2 1F1FA,🇲🇺,Mauritius                             
1F1F2 1F1FB,🇲🇻,Maldives                              
1F1F2 1F1FC,🇲🇼,Malawi                                
1F1F2 1F1FD,🇲🇽,Mexico                                
1F1F2 1F1FE,🇲🇾,Malaysia                              
1F1F2 1F1FF,🇲🇿,Mozambique                            
1F1F3 1F1E6,🇳🇦,Namibia                               
1F1F3 1F1E8,🇳🇨,New Caledonia                         
1F1F3 1F1EA,🇳🇪,Niger                                 
1F1F3 1F1EB,🇳🇫,Norfolk Island                        
1F1F3 1F1EC,🇳🇬,Nigeria                               
1F1F3 1F1EE,🇳🇮,Nicaragua                             
1F1F3 1F1F1,🇳🇱,Netherlands                           
1F1F3 1F1F4,🇳🇴,Norway                                
1F1F3 1F1F5,🇳🇵,Nepal                                 
1F1F3 1F1F7,🇳🇷,Nauru                                 
1F1F3 1F1FA,🇳🇺,Niue                                  
1F1F3 1F1FF,🇳🇿,New Zealand                           
1F1F4 1F1F2,🇴🇲,Oman                                  
1F1F5 1F1E6,🇵🇦,Panama                                
1F1F5 1F1EA,🇵🇪,Peru                                  
1F1F5 1F1EB,🇵🇫,French Polynesia                      
1F1F5 1F1EC,🇵🇬,Papua New Guinea                      
1F1F5 1F1ED,🇵🇭,Philippines                           
1F1F5 1F1F0,🇵🇰,Pakistan                              
1F1F5 1F1F1,🇵🇱,Poland                                
1F1F5 1F1F2,🇵🇲,St. Pierre & Miquelon                 
1F1F5 1F1F3,🇵🇳,Pitcairn Islands                      
1F1F5 1F1F7,🇵🇷,Puerto Rico                           
1F1F5 1F1F8,🇵🇸,Palestinian Territories               
1F1F5 1F1F9,🇵🇹,Portugal                              
1F1F5 1F1FC,🇵🇼,Palau                                 
1F1F5 1F1FE,🇵🇾,Paraguay                              
1F1F6 1F1E6,🇶🇦,Qatar                                 
1F1F7 1F1EA,🇷🇪,Réunion                               
1F1F7 1F1F4,🇷🇴,Romania                               
1F1F7 1F1F8,🇷🇸,Serbia                                
1F1F7 1F1FA,🇷🇺,Russia                                
1F1F7 1F1FC,🇷🇼,Rwanda                                
1F1F8 1F1E6,🇸🇦,Saudi Arabia                          
1F1F8 1F1E7,🇸🇧,Solomon Islands                       
